X,Y,ID,POZO_NRO,estado,imagen,icon_url
2525987.45537444,6511857.64814635,"75",Z-75,"1",,./0.png
2526069.12950737,6511650.63681033,"74",Z-74,"1",,./0.png
2525837.2397623,6511539.40312278,"73",Z-73,"1",,./0.png
2526257.98258521,6511808.56209804,"76",Z-76,"1",,./0.png
2526430.12197011,6511559.53474505,"72",Z-72,"1",,./0.png
2526243.73322727,6511398.8949585,"71",Z-71,"1",F:\imagenes\fachada municipio.JPG,./0.png
2526085.00240796,6511401.17033069,"70",Z-70,"1",F:\COPIA ARCHIVOS\Mi PC Fija\ZONDA-CFI\CFI-Informe Final\Documentos\caratula.doc,./0.png
2526013.08912631,6511252.36816528,"66",Z-66,"1",F:\COPIA ARCHIVOS\Mi PC Fija\ZONDA-CFI\CFI-Informe Final\Redes de Servicios\red de pozos.xls,./0.png
2526207.02206479,6511177.99730344,"67",Z-67,"1",,./0.png
2526347.07434074,6511297.41377884,"68",Z-68,"1",,./0.png
2526295.08633174,6511128.32039349,"64",Z-64,"1",,./0.png
2526119.0005373,6511018.40605655,"58",Z-58,"1",,./0.png
2526409.53160814,6510964.4963525,"59",Z-59,"1",,./0.png
2526472.3490254,6511056.66912935,"60",Z-60,"1",,./0.png
2526762.79886731,6511331.67437748,"69",Z-69,"1",,./0.png
2526642.00214744,6510858.72887745,"57",Z-57,"1",,./0.png
2526748.73832051,6510704.95091285,"54",Z-54,"1",,./0.png
2526971.2126617,6511105.96009226,"62",Z-62,"1",,./0.png
2525821.53883789,6511059.26798238,"61",Z-61,"1",,./0.png
2525957.85275116,6510694.24504408,"55",Z-55,"1",,./0.png
2526275.92527832,6510693.89647095,"51",Z-51,"1",,./0.png
2526533.83742625,6510626.25452404,"52",Z-52,"1",,./0.png
2526975.20752345,6510327.3710825,"46",Z-46,"1",F:\Imagenes\secccanal15.bmp,./0.png
2526970.21405135,6510238.34799401,"41",Z-41,,,./0.png
2526942.84226704,6510166.85524277,"34",Z-34,,,./0.png
2527139.17399718,6510259.639382,"40",Z-40,,,./0.png
2527061.11380703,6510227.31768039,"37",Z-37,,,./0.png
2527048.14196528,6510030.5883383,"29",Z-29,,,./0.png
2526936.92144161,6509992.36473817,"26",Z-26,,,./0.png
2527116.23317259,6509854.2448684,"25",Z-25,,,./0.png
2527024.72646158,6509845.74206811,"22",Z-22,,,./0.png
2526912.72012838,6509720.07001576,"21",Z-21,,,./0.png
2527042.52913983,6509590.22728107,"18",Z-18,,,./0.png
2526817.47569883,6509979.29904902,"39",Z-39,,,./0.png
2526780.05665388,6509861.17397416,"30",Z-30,,,./0.png
2526780.55645187,6509760.34630406,"24",Z-24,,,./0.png
2526772.52429817,6509683.4202722,"20",Z-20,,,./0.png
2526871.22376573,6509440.92014594,"14",Z-14,,,./0.png
2526856.3123455,6509347.24046677,"11",Z-11,,,./0.png
2526661.34159375,6510469.04269631,"49",Z-49,"1",,./0.png
2526719.30101549,6509976.92733328,"42",Z-42,,,./0.png
2526714.11617493,6509909.14671892,"35",Z-35,,,./0.png
2526389.44614419,6510090.90143501,"45",Z-45,"1",,./0.png
2526447.06881696,6509876.47383591,"32",Z-32,,,./0.png
2526232.03458889,6509843.82113542,"33",Z-33,,,./0.png
2526658.82663274,6509760.59712351,"27",Z-27,,,./0.png
2526632.29510197,6509563.47355629,"17",Z-17,,,./0.png
2526615.00962244,6509394.27528899,"12",Z-12,,,./0.png
2526842.04423662,6509236.71808871,"8",Z-08,,,./0.png
2527090.62961427,6509009.68550356,"5",Z-05,,,./0.png
2526569.85532873,6509095.41324567,"6",Z-06,,,./0.png
2526577.75417211,6508856.88271667,"1",Z-01,,,./0.png
2526788.87198916,6508856.47337221,"2",Z-02,,,./0.png
2527366.69075703,6509107.28654044,"7",Z-07,,,./0.png
2527376.02719697,6508998.82975268,"3",Z-03,,,./0.png
2527434.31721002,6509656.40900885,"19",Z-19,,,./0.png
2527730.11407022,6509522.51979698,"15",Z-15,,,./0.png
2527695.08159558,6509246.91022547,"9",Z-09,,,./0.png
2527401.3335238,6509387.14966145,"13",Z-13,,,./0.png
2527671.45170083,6509048.79683378,"4",Z-04,,,./0.png
2527475.59032057,6510118.21166147,"31",Z-31,,,./0.png
2527716.8762726,6509911.9737674,"23",Z-23,,,./0.png
2528025.93333891,6509731.72770035,"16",Z-16,,,./0.png
2527271.06355738,6510579.5416451,"50",Z-50,"1",,./0.png
2527515.69469501,6510495.88859779,"44",Z-44,,,./0.png
2527747.89693255,6510206.45118281,"38",Z-38,,,./0.png
2528025.49050353,6510016.71750088,"28",Z-28,,,./0.png
2527864.66899821,6510564.78926322,"48",Z-48,"1",,./0.png
2528141.18723168,6510548.74832264,"43",Z-43,,,./0.png
2528417.20587347,6510414.54369425,"36",Z-36,,,./0.png
2528447.33162934,6510646.71092924,"47",Z-47,"1",,./0.png
2528220.02153591,6510946.44764294,"63",Z-63,"1",,./0.png
2528473.3487796,6510906.60015902,"56",Z-56,"1",,./0.png
2528539.73031226,6511046.90383225,"65",Z-65,"1",,./0.png
2527122.12260685,6509312.0753092,"10",Z-10,,,./0.png
2528146.81425034,6510715.79157781,"53",Z-53,"1",,./0.png
